Shigella dysenteriae Sd197, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
putative electron transfer flavoprotein FixB 	61941	62882	+	313	82775444	3798944	fixB	SDY_0064	COG2025C
hypothetical protein SDY_0065 	63169	64218	+	349	82775445	3798945	fixC	SDY_0065	COG0644C
putative ferredoxin 	64215	64502	+	95	82775446	3798946	fixX	SDY_0066	COG2440C
putative transport protein 	64560	65480	+	306	82775447	3798947	yaaU	SDY_0067	COG2271G
hypothetical protein SDY_0068 	65490	65723	+	77	82775448	3798948	-	SDY_0068	-
glutathione-regulated potassium-efflux system ancillary protein KefF 	66002	66532	+	176	82775449	3798949	yabF	SDY_0069	COG2249R
K+ efflux antiporter, glutathione-regulated 	66525	68192	+	555	82775450	3798950	kefC	SDY_0070	COG0475P
dihydrofolate reductase 	68384	68863	+	159	82775451	3798951	folA	SDY_0071	COG0262H
putative antitoxin of gyrase inhibiting toxin-antitoxin system 	68949	69182	+	77	82775452	3798952	-	SDY_0072	COG5302R
putative toxin of gyrase inhibiting toxin-antitoxin system 	69185	69499	+	104	82775453	3798953	-	SDY_0073	-
diadenosine tetraphosphatase 	69496	70344	-	282	82775454	3798954	apaH	SDY_0074	COG0639T
ApaG 	70351	70728	-	125	82775455	3798955	apaG	SDY_0075	COG2967P
dimethyladenosine transferase 	70731	71552	-	273	82775456	3798956	ksgA	SDY_0076	COG0030J
4-hydroxythreonine-4-phosphate dehydrogenase 	71549	72538	-	329	82775457	3798957	pdxA	SDY_0077	COG1995H
peptidyl-prolyl cis-trans isomerase SurA 	72538	73824	-	428	82775458	3798958	surA	SDY_0078	COG0760O
organic solvent tolerance protein 	73877	76231	-	784	82775459	3798959	imp	SDY_0079	COG1452M
Dna-J like membrane chaperone protein 	76486	77301	+	271	82775460	3799440	djlA	SDY_0080	COG1076O
hypothetical protein SDY_0081 	77596	78312	+	238	82775461	3799441	yabP	SDY_0081	-
23S rRNA/tRNA pseudouridine synthase A 	78719	79378	-	219	82775462	3799442	yabO	SDY_0082	COG0564J
ATP-dependent helicase HepA 	79390	82296	-	968	82775463	3799443	hepA	SDY_0083	COG0553KL
iso-IS1 ORF2 	83937	84332	-	131	82775464	3799444	-	SDY_0084	COG1662L
IS1 ORF1 	85070	85345	+	91	82775465	3799445	insA	SDY_0085	COG3677L
IS1 ORF2 	85390	85767	+	125	82775466	3799446	insB	SDY_0086	COG1662L
L-ribulose-5-phosphate 4-epimerase 	86437	87132	-	231	82775467	3799448	araD	SDY_0088	COG0235G
L-arabinose isomerase 	87300	88802	-	500	82775468	3799449	araA	SDY_0089	COG2160G
ribulokinase 	88813	90513	-	566	82775469	3799450	araB	SDY_0090	COG1069C
hypothetical protein SDY_0092 	91820	92584	+	254	82775470	3799452	yabI	SDY_0092	COG0586S
thiamine transporter ATP-binding subunit 	92698	93396	-	232	82775471	3799453	thiQ	SDY_0093	COG3840H
thiamine transporter membrane protein 	93380	94990	-	536	82775472	3799454	thiP	SDY_0094	COG1178P
thiamine transporter substrate binding subunit 	94966	95949	-	327	82775473	3799455	tbpA	SDY_0095	COG4143H
IS1 ORF1 	96649	96924	-	91	82775474	3799456	insA	SDY_0096	COG3677L
transcriptional regulator SgrR 	97447	99105	-	552	82775475	3799457	yabN	SDY_0097	COG4533R
isopropylmalate isomerase small subunit 	99433	100038	-	201	82775476	3799458	leuD	SDY_0098	COG0066E
isopropylmalate isomerase large subunit 	100049	101449	-	466	82775477	3795905	leuC	SDY_0099	COG0065E
3-isopropylmalate dehydrogenase 	101452	102543	-	363	161950168	3795906	leuB	SDY_0100	COG0473CE
2-isopropylmalate synthase 	102543	104114	-	523	82775479	3795907	leuA	SDY_0101	COG0119E
leu operon leader peptide 	104207	104290	-	27	82775480	3795908	leuL	SDY_0102	-
iso-IS1 ORF2 	104941	105156	+	71	82775481	3795909	-	SDY_0103	COG1662L
IS1 ORF2 	105404	105781	-	125	82775482	3795911	insB	SDY_0105	COG1662L
IS1 ORF1 	105826	106101	-	91	82775483	3795912	insA	SDY_0106	COG3677L
acetolactate synthase 3 catalytic subunit 	106283	108007	+	574	82775484	3795913	ilvI	SDY_0107	COG0028EH
acetolactate synthase 3 regulatory subunit 	108010	108501	+	163	82775485	3795914	ilvH	SDY_0108	COG0440E
DNA-binding transcriptional regulator FruR 	108681	109685	+	334	82775487	3795916	fruR	SDY_0110	COG1609K
cell division protein MraZ 	110288	110746	+	152	82775488	3795917	yabB	SDY_0111	COG2001S
S-adenosyl-methyltransferase MraW 	110748	111689	+	313	82775489	3795918	mraW	SDY_0112	COG0275M
cell division protein FtsL 	111686	112051	+	121	82775490	3795919	ftsL	SDY_0113	COG3116D
penicillin-binding protein 3 	112067	113833	+	588	82775491	3795920	ftsI	SDY_0114	COG0768M
UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase 	113820	115307	+	495	82775492	3795921	murE	SDY_0115	COG0769M
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase 	115304	116662	+	452	82775493	3795922	murF	SDY_0116	COG0770M
phospho-N-acetylmuramoyl-pentapeptide-transferase 	116656	117738	+	360	82775494	3795923	mraY	SDY_0117	COG0472M
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase 	117741	119057	+	438	82775495	3795924	murD	SDY_0118	COG0771M
cell division protein FtsW 	119057	120301	+	414	82775496	3799344	ftsW	SDY_0119	COG0772D
undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase 	120298	121365	+	355	82775497	3799345	murG	SDY_0120	COG0707M
UDP-N-acetylmuramate--L-alanine ligase 	121419	122894	+	491	82775498	3799346	murC	SDY_0121	COG0773M
D-alanine--D-alanine ligase 	122887	123807	+	306	82775499	3799347	ddl	SDY_0122	COG1181M
cell division protein FtsQ 	123809	124639	+	276	82775500	3799348	ftsQ	SDY_0123	COG1589M
cell division protein FtsA 	124636	125898	+	420	82775501	3799349	ftsA	SDY_0124	COG0849D
cell division protein FtsZ 	125959	127110	+	383	82775502	3799350	ftsZ	SDY_0125	COG0206D
UDP-3-O-	127211	128128	+	305	82775503	3799351	lpxC	SDY_0126	COG0774M
SecA regulator SecM 	128358	128870	+	170	161950167	3799352	yacA	SDY_0127	-
preprotein translocase subunit SecA 	128932	131637	+	901	82775505	3799353	secA	SDY_0128	COG0653U
nucleoside triphosphate pyrophosphohydrolase 	131697	132095	+	132	82775506	3799354	mutT	SDY_0129	COG1051F
hypothetical protein SDY_0130 	132100	132234	-	44	82775507	3799355	-	SDY_0130	-
zinc-binding protein 	132185	132382	-	65	82775508	3799356	yacG	SDY_0131	COG3024S
hypothetical protein SDY_0132 	132392	133135	-	247	82775509	3799357	yacF	SDY_0132	COG4582S
dephospho-CoA kinase 	133135	133755	-	206	82775510	3799358	coaE	SDY_0133	COG0237H
guanosine 5'-monophosphate oxidoreductase 	133980	135023	+	347	82775511	3799359	guaC	SDY_0134	COG0516F
hypothetical protein SDY_0135 	134943	135050	-	35	82775512	3799360	-	SDY_0135	-
hypothetical protein SDY_0137 	136297	137631	-	444	82775513	3799362	hofB	SDY_0137	COG2804NU
putative major pilin subunit 	137641	138081	-	146	82775514	3799054	ppdD	SDY_0138	COG4969NU
quinolinate phosphoribosyltransferase 	138284	139177	-	297	82775515	3799055	nadC	SDY_0139	COG0157H
N-acetyl-anhydromuranmyl-L-alanine amidase 	139265	139816	+	183	82775516	3799056	ampD	SDY_0140	COG3023V
regulatory protein AmpE 	139813	140667	+	284	82775517	3799057	ampE	SDY_0141	COG3725V
aromatic amino acid transporter 	140710	142083	-	457	82775518	3799058	aroP	SDY_0142	COG1113E
transcriptional regulator PdhR 	142624	143388	+	254	82775519	3799059	pdhR	SDY_0143	COG2186K
pyruvate dehydrogenase subunit E1 	143549	146212	+	887	82775520	3799060	aceE	SDY_0144	COG2609C
dihydrolipoamide acetyltransferase 	146227	148107	+	626	82775521	3799061	aceF	SDY_0145	COG0508C
dihydrolipoamide dehydrogenase 	148315	149739	+	474	82775522	3799062	lpdA	SDY_0146	COG1249C
hypothetical protein SDY_0147 	149810	150850	-	346	82775523	3799063	-	SDY_0147	-
hypothetical protein SDY_0148 	150847	151263	-	138	82775524	3799064	-	SDY_0148	-
IS1 ORF2 	151404	151781	-	125	82775525	3799065	insB	SDY_0149	COG1662L
IS1 ORF1 	151826	152101	-	91	82775526	3799066	insA	SDY_0150	COG3677L
hypothetical protein SDY_0151 	152152	152643	-	163	82775527	3799067	-	SDY_0151	COG3188NU
iso-IS1 ORF2 	152621	153016	-	131	82775528	3799068	-	SDY_0152	COG1662L
hypothetical protein SDY_0153 	153211	153459	+	82	82775529	3799069	-	SDY_0153	-
3-methyl-2-oxobutanoate hydroxymethyltransferase 	153922	154716	+	264	82775530	3799070	panB	SDY_0154	COG0413H
pantoate--beta-alanine ligase 	154728	155579	+	283	82775531	3799071	panC	SDY_0155	COG0414H
IS1 ORF2 	156192	156569	+	125	82775532	3799072	insB	SDY_0156	COG1662L
iso-IS1 ORF2 	157117	157512	+	131	82775533	3799073	-	SDY_0157	COG1662L
2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase 	157582	158061	-	159	82775534	3795789	folK	SDY_0158	COG0801H
poly(A) polymerase I 	158058	159476	-	472	161950166	3795790	pcnB	SDY_0159	COG0617J
glutamyl-Q tRNA(Asp) synthetase 	159515	160411	-	298	161950165	3795791	yadB	SDY_0160	COG0008J
DnaK transcriptional regulator DksA 	160478	160933	-	151	82775537	3795792	dksA	SDY_0161	COG1734T
sugar fermentation stimulation protein A 	161111	161815	-	234	82775538	3795793	sfsA	SDY_0162	COG1489R
hypothetical protein SDY_0163 	161830	162369	-	179	82775539	3795794	yadP	SDY_0163	COG1514J
penicillin-binding protein 1b 	165059	167593	+	844	82775540	3795796	mrcB	SDY_0165	COG0744M
ferrichrome outer membrane transporter 	167813	170056	+	747	82775541	3795797	fhuA	SDY_0166	COG1629P
iron-hydroxamate transporter ATP-binding subunit 	170107	170904	+	265	82775542	3795798	fhuC	SDY_0167	COG1120PH
iron-hydroxamate transporter substrate-binding subunit 	170904	171794	+	296	82775543	3795799	fhuD	SDY_0168	COG0614P
iron-hydroxamate transporter permease subunit 	171791	173773	+	660	82775544	3795800	fhuB	SDY_0169	COG0609P
glutamate-1-semialdehyde aminotransferase 	173808	175088	-	426	82775545	3795801	hemL	SDY_0170	COG0001H
chloride channel protein 	175313	176734	+	473	82775546	3795802	yadQ	SDY_0171	COG0038P
iron-sulfur cluster insertion protein ErpA 	176816	177160	+	114	82775547	3795803	yadR	SDY_0172	COG0316S
hypothetical protein SDY_0173 	177207	177830	-	207	82775548	3795804	yadS	SDY_0173	COG2860S
vitamin B12-transporter protein BtuF 	177868	178668	-	266	82775549	3795805	yadT	SDY_0174	COG0614P
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 	178661	179359	-	232	82775550	3795806	pfs	SDY_0175	COG0775F
iso-IS1 ORF2 	180797	181192	+	131	82775551	3798524	-	SDY_0177	COG1662L
serine endoprotease 	181864	183288	+	474	82775552	3798525	htrA	SDY_0178	COG0265O
hypothetical protein SDY_0179 	183466	184266	+	266	82775553	3798526	yaeG	SDY_0179	COG3835KT
hypothetical protein SDY_0180 	184270	184596	+	108	82775554	3798527	-	SDY_0180	COG3835KT
hypothetical protein SDY_0181 	184685	185071	-	128	82775555	3798528	yaeH	SDY_0181	-
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase 	185385	186209	-	274	82775556	3798529	dapD	SDY_0182	COG2171E
PII uridylyl-transferase 	186240	188912	-	890	82775557	3798530	glnD	SDY_0183	COG2844O
methionine aminopeptidase 	188974	189768	-	264	82775558	3798531	map	SDY_0184	COG0024J
30S ribosomal protein S2 	190136	190861	+	241	82775559	3798532	rpsB	SDY_0185	COG0052J
elongation factor Ts 	191119	191970	+	283	82775560	3798533	tsf	SDY_0186	COG0264J
uridylate kinase 	192117	192842	+	241	82775561	3798534	pyrH	SDY_0187	COG0528F
ribosome recycling factor 	193134	193691	+	185	82775562	3798535	frr	SDY_0188	COG0233J
1-deoxy-D-xylulose 5-phosphate reductoisomerase 	193783	194979	+	398	82775563	3798536	yaeM	SDY_0189	COG0743I
undecaprenyl pyrophosphate synthase 	195165	195926	+	253	82775564	3798537	yaeS	SDY_0190	COG0020I
CDP-diglyceride synthase 	195939	196796	+	285	161950164	3798538	cdsA	SDY_0191	COG0575I
zinc metallopeptidase RseP 	196808	198160	+	450	82775566	3798539	yaeL	SDY_0192	COG0750M
outer membrane protein assembly factor YaeT 	198190	200622	+	810	82775567	3798540	yaeT	SDY_0193	COG4775M
periplasmic chaperone 	200744	201229	+	161	82775568	3798541	hlpA	SDY_0194	COG2825M
UDP-3-O-	201233	202258	+	341	82775569	3798542	lpxD	SDY_0195	COG1044M
(3R)-hydroxymyristoyl-ACP dehydratase 	202363	202818	+	151	82775570	3798543	fabZ	SDY_0196	COG0764I
UDP-N-acetylglucosamine acyltransferase 	202822	203610	+	262	82775571	3795730	lpxA	SDY_0197	COG1043M
lipid-A-disaccharide synthase 	203610	204758	+	382	82775572	3795731	lpxB	SDY_0198	COG0763M
ribonuclease HII 	204755	205351	+	198	82775573	3795732	rnhB	SDY_0199	COG0164L
DNA polymerase III subunit alpha 	205388	208870	+	1160	82775574	3795733	dnaE	SDY_0200	COG0587L
acetyl-CoA carboxylase carboxyltransferase subunit alpha 	208883	209842	+	319	82775575	3795734	accA	SDY_0201	COG0825I
IS1 ORF1 	210154	210429	+	91	82775576	3795735	insA	SDY_0202	COG3677L
IS1 ORF2 	210474	210851	+	125	82775577	3795736	insB	SDY_0203	COG1662L
hypothetical protein SDY_0205 	212959	213291	+	110	82775578	3795738	yaeR	SDY_0205	COG0346E
tRNA(Ile)-lysidine synthetase 	213359	214654	+	431	82775579	3795739	tilS	SDY_0206	COG0037D
Rho-binding antiterminator 	214707	214967	-	86	82775580	3795740	yaeO	SDY_0207	COG4568K
hypothetical protein SDY_0208 	214954	215172	-	72	82775581	3795741	yaeP	SDY_0208	-
hypothetical protein SDY_0209 	215320	215865	+	181	82775582	3795742	yaeQ	SDY_0209	COG4681S
peptidyl-tRNA hydrolase domain protein 	215862	216284	+	140	82775583	3795743	yaeJ	SDY_0210	COG1186J
lipoprotein involved with copper homeostasis and adhesion 	216298	217008	+	236	82775584	3795744	cutF	SDY_0211	COG3015MP
hypothetical protein SDY_0212 	217152	217976	-	274	82775585	3795745	yaeF	SDY_0212	COG0791M
prolyl-tRNA synthetase 	218029	219747	-	572	82775586	3795746	proS	SDY_0213	COG0442J
hypothetical protein SDY_0214 	219858	220565	-	235	82775587	3795747	yaeB	SDY_0214	COG1720S
outer membrane lipoprotein 	220562	220966	-	134	82775588	3795748	rcsF	SDY_0215	-
DL-methionine transporter substrate-binding subunit 	221084	221899	-	271	82775589	3797846	metQ	SDY_0216	COG1464P
DL-methionine transporter permease subunit 	221939	222592	-	217	82775590	3797847	yaeE	SDY_0217	COG2011P
DL-methionine transporter ATP-binding subunit 	222585	223616	-	343	82775591	3797848	metN	SDY_0218	COG1135P
D,D-heptose 1,7-bisphosphate phosphatase 	223804	224376	+	190	82775592	3797849	yaeD	SDY_0219	COG0241E
2,5-diketo-D-gluconate reductase B 	230128	230895	+	255	82775593	3797856	dkgB	SDY_0226	COG0656R
putative transcriptional regulator LYSR-type 	230927	231841	-	304	82775594	3797857	yafC	SDY_0227	COG0583K
hypothetical protein SDY_0228 	232082	232882	+	266	82775595	3797858	yafD	SDY_0228	COG3021S
putative biotin synthesis protein 	233151	233714	+	187	82775596	3797859	yafE	SDY_0229	COG2226H
membrane-bound lytic murein transglycosylase D 	233762	235120	-	452	82775597	3796958	mltD	SDY_0230	COG0741M
hydroxyacylglutathione hydrolase 	235192	235947	-	251	82775598	3796959	gloB	SDY_0231	COG0491R
hypothetical protein SDY_0232 	235963	236703	+	246	82775599	3796960	yafS	SDY_0232	COG2226H
ribonuclease H 	236700	237167	-	155	82775600	3796961	rnhA	SDY_0233	COG0328L
DNA polymerase III subunit epsilon 	237232	237963	+	243	82775601	3796962	dnaQ	SDY_0234	COG0847L
IS1 ORF2 	238404	238781	-	125	82775602	3796964	insB	SDY_0236	COG1662L
IS1 ORF1 	238826	239101	-	91	82775603	3796965	insA	SDY_0237	COG3677L
hypothetical protein SDY_0238 	239152	239412	-	86	82775604	3796966	-	SDY_0238	-
iso-IS1 ORF2 	239550	239765	-	71	82775605	3796967	-	SDY_0239	COG1662L
iso-IS1 ORF2 	239762	239944	-	60	82775606	3796968	-	SDY_0240	COG1662L
hypothetical protein SDY_0241 	240296	240901	-	201	82775607	3796969	-	SDY_0241	-
iso-IS1 ORF2 	241741	242136	+	131	161950163	3796970	-	SDY_0242	COG1662L
hypothetical protein SDY_0243 	242114	242605	+	163	82775609	3796971	-	SDY_0243	COG3328L
transposase 	242699	243361	+	220	82775610	3796972	-	SDY_0244	COG3328L
hypothetical protein SDY_0245 	243525	244295	-	256	82775611	3796973	yafV	SDY_0245	COG0388R
C-lysozyme inhibitor 	244449	244922	+	157	82775612	3796974	ykfE	SDY_0246	-
phosphoheptose isomerase 	247649	248227	+	192	82775613	3799596	gmhA	SDY_0248	COG0279G
putative amidotransferase 	248433	249200	+	255	82775614	3799597	yafJ	SDY_0249	COG0121R
hypothetical protein SDY_0250 	249171	249911	-	246	82775615	3799598	yafK	SDY_0250	COG3034S
hypothetical protein SDY_0251 	250067	250345	-	92	82775616	3799599	yafQ	SDY_0251	COG3041S
damage-inducible protein J 	250348	250608	-	86	82775617	3799600	dinJ	SDY_0252	COG3077L
putative lipoprotein 	250818	251567	+	249	82775618	3799601	yafL	SDY_0253	COG0791M
hypothetical protein SDY_0254 	251743	252081	+	112	82775619	3799602	yafM	SDY_0254	COG1943L
iso-IS1 ORF2 	252416	252811	+	131	82775620	3799603	-	SDY_0255	COG1662L
putative chaperone 	253042	253407	+	121	82775621	3799604	sfmC	SDY_0256	COG3121NU
IS1 ORF1 	253441	253716	+	91	82775622	3799605	insA	SDY_0257	COG3677L
IS1 ORF2 	253761	254138	+	125	82775623	3799606	insB	SDY_0258	COG1662L
iso-IS1 ORF2 	254653	255048	-	131	82775624	3799608	-	SDY_0260	COG1662L
iso-IS1 ORF2 	256001	256396	+	131	82775625	3799609	-	SDY_0261	COG1662L
hypothetical protein SDY_0263 	256919	257167	-	82	82775626	3799611	-	SDY_0263	-
hypothetical protein SDY_0264 	257216	257809	-	197	82775627	3799612	ybcH	SDY_0264	-
bacteriophage N4 receptor 	260895	262859	-	654	82775628	3799614	nfrB	SDY_0266	COG1215M
IS1 ORF2 	263221	263598	+	125	82775629	3799844	insB	SDY_0267	COG1662L
membrane protein FdrA 	263934	265604	+	556	82775630	3799845	fdrA	SDY_0268	COG0074C
hypothetical protein SDY_0269 	265872	266873	+	333	82775631	3799846	ylbE	SDY_0269	-
putative carboxylase 	266884	267699	+	271	82775632	3799847	ylbF	SDY_0270	-
IS1 ORF2 	267968	268345	-	125	82775633	3799849	insB	SDY_0272	COG1662L
IS1 ORF1 	268390	268665	-	91	82775634	3799850	insA	SDY_0273	COG3677L
phosphoribosylaminoimidazole carboxylase ATPase subunit 	269505	270572	-	355	82775635	3799851	purK	SDY_0274	COG0026F
AIR carboxylase, catalytic subunit 	270569	271078	-	169	82775636	3799852	purE	SDY_0275	COG0041F
UDP-2,3-diacylglucosamine hydrolase 	271196	271918	-	240	82775637	3799853	ybbF	SDY_0276	COG2908S
peptidyl-prolyl cis-trans isomerase B (rotamase B) 	271921	272415	-	164	82775638	3799854	ppiB	SDY_0277	COG0652O
cysteinyl-tRNA synthetase 	272589	273974	+	461	82775639	3799855	cysS	SDY_0278	COG0215J
hypothetical protein SDY_0279 	274187	274531	-	114	82775640	3799856	ybcI	SDY_0279	COG1988R
hypothetical protein SDY_0280 	274483	274872	-	129	82775641	3799857	ybcJ	SDY_0280	COG2501S
bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase 	274853	275719	-	288	82775642	3799858	folD	SDY_0281	COG0190H
IS1 ORF1 	276328	276603	-	91	82775643	3799859	insA	SDY_0282	COG3677L
IS600 ORF2 	276714	277427	-	237	82775644	3799860	-	SDY_0283	COG2801L
IS600 ORF1 	277568	277870	-	100	82775645	3799861	-	SDY_0284	COG2963L
hypothetical protein SDY_0285 	278268	279563	+	431	82775646	3799862	ybaE	SDY_0285	COG4533R
queuosine biosynthesis protein QueC 	279904	280599	+	231	82775647	3798960	ybaX	SDY_0286	COG0603R
hypothetical protein SDY_0287 	280651	281049	-	132	82775648	3798961	ybaW	SDY_0287	COG0824R
iso-IS1 ORF2 	281087	281443	-	118	82775649	3798962	-	SDY_0288	COG1662L
hypothetical protein SDY_0289 	281678	281929	+	83	82775650	3798963	-	SDY_0289	-
hypothetical protein SDY_0290 	281930	282301	-	123	82775651	3798964	ybaV	SDY_0290	COG1555L
peptidyl-prolyl cis-trans isomerase (rotamase D) 	282452	284323	-	623	82775652	3798965	ybaU	SDY_0291	COG0760O
transcriptional regulator HU subunit beta 	284515	284787	-	90	82775653	3798966	hupB	SDY_0292	COG0776L
DNA-binding ATP-dependent protease La 	284921	287359	-	812	82775654	3798967	lon	SDY_0293	COG0466O
ATP-dependent protease ATP-binding subunit ClpX 	287547	288821	-	424	82775655	3798968	clpX	SDY_0294	COG1219O
